deviceName,uptime,Impact,Evento_Fecha_Módulo
sec,2y:8w,NO,Abril: CRS-LSP400G
sec,2y:8w,NO,Abril: CRS-LSP400G
sec,2y:8w,NO,Abril: CRS-LSP400G
sec,2y:8w,NO,Abril: CRS-LSP400G
sec,2y:8w,NO,Abril: CRS-LSP400G
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
vpn,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,2y:8w,IMPACTO,Agosto: A9K-MOD80-SE
vpn,2y:8w,NA,NA
vpn,2y:8w,NA,NA
vpn,2y:8w,NA,NA
vpn,2y:8w,NA,NA
vpn,2y:8w,NA,NA
vpn,2y:8w,NA,NA
vpn,2y:8w,NA,NA
vpn,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:8w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
sec,2y:7w,NA,NA
vpn,2y:6w,NA,NA
vpn,2y:6w,NA,NA
vpn,2y:6w,NA,NA
vpn,2y:6w,NA,NA
vpn,2y:6w,NA,NA
vpn,2y:6w,NA,NA
vpn,2y:6w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
sec,2y:5w,NA,NA
vpn,2y:5w,NA,NA
vpn,2y:5w,NA,NA
vpn,2y:5w,NA,NA
vpn,2y:5w,NA,NA
vpn,2y:5w,NA,NA
vpn,2y:5w,NA,NA
sec,2y:4w,NA,NA
vpn,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:4w,NA,NA
sec,2y:3w,NA,NA
sec,2y:2w,NA,NA
sec,2y:2w,NO,Marzo: CRS-FP140
sec,2y:2w,NA,NA
reg,2y:2w,NA,NA
vpn,2y:2w,NA,NA
reg,2y:1w,NA,NA
sec,2y:1w,NA,NA
sec,2y:1w,NA,NA
sec,2y:1w,NA,NA
sec,2y:1w,NA,NA
sec,2y:1w,NA,NA
sec,2y:1w,NA,NA
vpn,2y:1w,NA,NA
sec,2y:1w,NA,NA
vpn,2y:0w,NA,NA
vpn,2y:0w,NA,NA
vpn,2y:0w,NA,NA
vpn,2y:0w,NA,NA
vpn,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
bup,2y:0w,NA,NA
sec,2y:0w,NA,NA
sec,2y:0w,NA,NA
sec,2y:0w,NA,NA
sec,2y:0w,NA,NA
sec,1y:9w,NA,NA
vpn,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NO,Agosto: CRS-LSP400G
sec,1y:9w,NO,Agosto: CRS-LSP400G
sec,1y:9w,NO,Agosto: CRS-LSP400G
sec,1y:9w,NO,Agosto: CRS-LSP400G
sec,1y:9w,NO,Agosto: CRS-LSP400G
sec,1y:9w,NO,Agosto: CRS-LSP400G
sec,1y:9w,NO,Agosto: CRS-LSP400G
sec,1y:9w,NO,Agosto: CRS-LSP400G
sec,1y:9w,NO,Agosto: CRS-LSP400G
vpn,1y:9w,NA,NA
vpn,1y:9w,NA,NA
vpn,1y:9w,NA,NA
vpn,1y:9w,NA,NA
vpn,1y:9w,NA,NA
vpn,1y:9w,NA,NA
sec,1y:9w,NA,NA
sec,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:9w,NA,NA
bb,1y:8w,NA,NA
sec,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
bb,1y:8w,NA,NA
sec,1y:8w,NA,NA
sec,1y:8w,NA,NA
sec,1y:8w,NA,NA
sec,1y:8w,NA,NA
sec,1y:8w,NA,NA
sec,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
bup,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
vpn,1y:8w,NA,NA
bb,1y:8w,NA,NA
sec,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:8w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
sec,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:7w,NA,NA
reg,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
inet,1y:7w,NA,NA
reg,1y:7w,NA,NA
vpn,1y:7w,NA,NA
sec,1y:7w,NA,NA
sec,1y:6w,NA,NA
sec,1y:5w,NA,NA
sec,1y:5w,NA,NA
sec,1y:5w,NA,NA
sec,1y:5w,NA,NA
sec,1y:5w,NA,NA
sec,1y:5w,NO,Agosto: CRS-LSP400G
reg,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
vpn,1y:4w,IMPACTO,Marzo: A9K-MOD80-SE
vpn,1y:4w,IMPACTO,Marzo: A9K-MOD80-SE
vpn,1y:4w,IMPACTO,Marzo: A9K-MOD80-SE
vpn,1y:4w,IMPACTO,Marzo: A9K-MOD80-SE
vpn,1y:4w,IMPACTO,Marzo: A9K-MOD80-SE
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
inet,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
vpn,1y:4w,NA,NA
sec,1y:3w,NA,NA
sec,1y:3w,NA,NA
sec,1y:3w,NA,NA
sec,1y:3w,NA,NA
sec,1y:3w,NA,NA
sec,1y:3w,NA,NA
sec,1y:3w,NA,NA
sec,1y:3w,NA,NA
ipdsl,1y:3w,NA,NA
ipdsl,1y:3w,NA,NA
ipdsl,1y:3w,NA,NA
ipdsl,1y:3w,NA,NA
ipdsl,1y:3w,NA,NA
ipdsl,1y:3w,NA,NA
ipdsl,1y:3w,NA,NA
ipdsl,1y:3w,NA,NA
sec,1y:3w,NA,NA
inet,1y:3w,NA,NA
sec,1y:3w,NA,NA
inet,1y:3w,NA,NA
inet,1y:3w,NA,NA
inet,1y:3w,NA,NA
inet,1y:3w,NA,NA
inet,1y:3w,NA,NA
