deviceName,node,productId,uptime,match
sec-tam-madero-26,node0_7_CPU0,CPAK-100G-LR4,2:9:0:4,NA
sec-tam-madero-26,node0_6_CPU0,CPAK-100G-LR4,2:9:0:4,NA
sec-tam-madero-26,node0_0_CPU0,CPAK-100G-LR4,2:9:0:4,NA
sec-tam-madero-26,node0_RP1_CPU0,CPAK-100G-LR4,2:9:0:4,NA
sec-tam-madero-26,node0_RP0_CPU0,CPAK-100G-LR4,2:9:0:4,NA
sec-son-cortinez-17,node0_SM1_SP,CPAK-100G-LR4,2:9:0:3,No_Imp_Febrero: CRS-FP140
sec-son-cortinez-17,node0_SM3_SP,CPAK-100G-LR4,2:9:0:3,No_Imp_Febrero: CRS-FP140
sec-son-cortinez-17,node0_SM2_SP,CPAK-100G-LR4,2:9:0:3,No_Imp_Febrero: CRS-FP140
sec-son-cortinez-17,node0_SM0_SP,CPAK-100G-LR4,2:9:0:3,No_Imp_Febrero: CRS-FP140
sec-son-cortinez-17,node0_3_CPU0,CPAK-100G-LR4,2:9:0:3,No_Imp_Febrero: CRS-FP140
sec-son-cortinez-17,node0_0_CPU0,CPAK-100G-LR4,2:9:0:3,No_Imp_Febrero: CRS-FP140
sec-nvl-valle-14,node0_SM2_SP,14X10GBE-WL-XFP,2:9:0:2,NA
sec-nvl-valle-14,node0_SM3_SP,14X10GBE-WL-XFP,2:9:0:2,NA
sec-nvl-valle-14,node0_SM0_SP,14X10GBE-WL-XFP,2:9:0:2,NA
sec-nvl-valle-14,node0_SM1_SP,14X10GBE-WL-XFP,2:9:0:2,NA
sec-nvl-valle-14,node0_2_CPU0,14X10GBE-WL-XFP,2:9:0:2,NA
sec-nvl-valle-14,node0_RP0_CPU0,14X10GBE-WL-XFP,2:9:0:2,NA
sec-nvl-valle-14,node0_0_CPU0,14X10GBE-WL-XFP,2:9:0:2,NA
sec-sin-losmochis-22,node0_SM1_SP,4X100GE-LO,2:9:0:1,NA
sec-sin-losmochis-22,node0_SM0_SP,4X100GE-LO,2:9:0:1,NA
sec-sin-losmochis-22,node0_SM2_SP,4X100GE-LO,2:9:0:1,NA
sec-sin-losmochis-22,node0_SM3_SP,4X100GE-LO,2:9:0:1,NA
