deviceName,node,productId,uptime_years,uptime_months,uptime_weeks,uptime_days,uptime_hours,match
sec-cam-campeche-13,node0_SM3_SP,14X10GBE-WL-XFP,2,9,2,3,18,#REF!
sec-cam-campeche-13,node0_SM0_SP,14X10GBE-WL-XFP,2,9,2,3,18,#REF!
sec-cam-campeche-13,node0_7_CPU0,14X10GBE-WL-XFP,2,9,2,3,18,#REF!
sec-cam-campeche-13,node0_RP1_CPU0,14X10GBE-WL-XFP,2,9,2,3,17,#REF!
sec-cam-campeche-13,node0_5_CPU0,14X10GBE-WL-XFP,2,9,2,3,17,#REF!
sec-cam-campeche-13,node0_2_CPU0,14X10GBE-WL-XFP,2,9,2,3,17,#REF!
sec-mch-zamora-16,node0_SM2_SP,14X10GBE-WL-XFP,2,9,2,3,14,#REF!
sec-mch-zamora-16,node0_SM0_SP,14X10GBE-WL-XFP,2,9,2,3,14,#REF!
sec-mch-zamora-16,node0_SM1_SP,14X10GBE-WL-XFP,2,9,2,3,14,#REF!
sec-mch-zamora-16,node0_6_CPU0,14X10GBE-WL-XFP,2,9,2,3,14,#REF!
sec-mch-zamora-16,node0_7_CPU0,14X10GBE-WL-XFP,2,9,2,3,13,#REF!
sec-mch-zamora-16,node0_3_CPU0,14X10GBE-WL-XFP,2,9,2,3,13,#REF!
sec-mch-zamora-16,node0_2_CPU0,14X10GBE-WL-XFP,2,9,2,3,13,#REF!
sec-mch-zamora-16,node0_1_CPU0,14X10GBE-WL-XFP,2,9,2,3,13,#REF!
sec-mch-zamora-16,node0_0_CPU0,14X10GBE-WL-XFP,2,9,2,3,13,#REF!
sec-dgo-zarco-17,node0_SM1_SP,14X10GBE-WL-XFP,2,9,2,2,17,#REF!
sec-dgo-zarco-17,node0_SM0_SP,14X10GBE-WL-XFP,2,9,2,2,17,#REF!
sec-dgo-zarco-17,node0_SM3_SP,14X10GBE-WL-XFP,2,9,2,2,17,#REF!
sec-dgo-zarco-17,node0_SM2_SP,14X10GBE-WL-XFP,2,9,2,2,16,#REF!
sec-dgo-zarco-17,node0_4_CPU0,14X10GBE-WL-XFP,2,9,2,2,16,#REF!
sec-dgo-zarco-17,node0_2_CPU0,14X10GBE-WL-XFP,2,9,2,2,16,#REF!
sec-dgo-zarco-17,node0_1_CPU0,14X10GBE-WL-XFP,2,9,2,2,15,#REF!
sec-dgo-zarco-17,node0_RP0_CPU0,14X10GBE-WL-XFP,2,9,2,2,14,#REF!
sec-col-ctc-22,node0_SM0_SP,4X100GE-LO,2,9,2,1,16,#REF!
sec-col-ctc-22,node0_SM3_SP,4X100GE-LO,2,9,2,1,16,#REF!
sec-col-ctc-22,node0_SM2_SP,4X100GE-LO,2,9,2,1,16,#REF!
sec-col-ctc-22,node0_SM1_SP,4X100GE-LO,2,9,2,1,16,#REF!
sec-col-ctc-22,node0_6_CPU0,4X100GE-LO,2,9,2,1,15,#REF!
sec-col-ctc-22,node0_RP0_CPU0,4X100GE-LO,2,9,2,1,14,#REF!
sec-col-ctc-22,node0_7_CPU0,4X100GE-LO,2,9,2,1,14,#REF!
sec-zac-plata-20,node0_SM2_SP,14X10GBE-WL-XFP,2,9,1,3,19,#REF!
sec-zac-plata-20,node0_SM3_SP,14X10GBE-WL-XFP,2,9,1,3,19,#REF!
sec-zac-plata-20,node0_SM1_SP,14X10GBE-WL-XFP,2,9,1,3,19,#REF!
sec-zac-plata-20,node0_SM0_SP,14X10GBE-WL-XFP,2,9,1,3,19,#REF!
sec-zac-plata-20,node0_6_CPU0,14X10GBE-WL-XFP,2,9,1,3,18,#REF!
sec-zac-plata-20,node0_5_CPU0,14X10GBE-WL-XFP,2,9,1,3,18,#REF!
sec-zac-plata-20,node0_4_CPU0,14X10GBE-WL-XFP,2,9,1,3,18,#REF!
sec-zac-plata-20,node0_3_CPU0,14X10GBE-WL-XFP,2,9,1,3,18,#REF!
sec-zac-plata-20,node0_2_CPU0,14X10GBE-WL-XFP,2,9,1,3,18,#REF!
sec-zac-plata-20,node0_1_CPU0,14X10GBE-WL-XFP,2,9,1,3,18,#REF!
sec-zac-plata-20,node0_RP0_CPU0,14X10GBE-WL-XFP,2,9,1,3,17,#REF!
sec-zac-plata-20,node0_7_CPU0,14X10GBE-WL-XFP,2,9,1,3,17,#REF!
sec-tam-anaya-14,node0_SM3_SP,CPAK-100G-LR4,2,9,1,3,16,#REF!
sec-tam-anaya-14,node0_SM2_SP,CPAK-100G-LR4,2,9,1,3,16,#REF!
sec-tam-anaya-14,node0_SM0_SP,CPAK-100G-LR4,2,9,1,3,16,#REF!
sec-tam-anaya-14,node0_SM1_SP,CPAK-100G-LR4,2,9,1,3,16,#REF!
sec-tam-anaya-14,node0_7_CPU0,CPAK-100G-LR4,2,9,1,3,16,#REF!
sec-tam-anaya-14,node0_6_CPU0,CPAK-100G-LR4,2,9,1,3,16,#REF!
sec-tam-anaya-14,node0_5_CPU0,CPAK-100G-LR4,2,9,1,3,16,#REF!
sec-tam-anaya-14,node0_4_CPU0,CPAK-100G-LR4,2,9,1,3,16,#REF!
sec-ver-lerdo-20,node0_SM2_SP,CRS-8-PRP-12G,2,9,1,3,16,#REF!
sec-jal-ptovallarta-20,node0_SM2_SP,14X10GBE-WL-XFP,2,9,1,3,15,#REF!
sec-jal-ptovallarta-20,node0_SM3_SP,14X10GBE-WL-XFP,2,9,1,3,15,#REF!
sec-jal-ptovallarta-20,node0_SM1_SP,14X10GBE-WL-XFP,2,9,1,3,15,#REF!
sec-jal-ptovallarta-20,node0_SM0_SP,14X10GBE-WL-XFP,2,9,1,3,15,#REF!
sec-qro-corregidora-32,node0_SM2_SP,4X100GE-LO,2,9,1,3,15,#REF!
sec-qro-corregidora-32,node0_SM1_SP,4X100GE-LO,2,9,1,3,15,#REF!
sec-qro-corregidora-32,node0_SM3_SP,4X100GE-LO,2,9,1,3,15,#REF!
sec-qro-corregidora-32,node0_SM0_SP,4X100GE-LO,2,9,1,3,15,#REF!
sec-tam-anaya-14,node0_1_CPU0,CPAK-100G-LR4,2,9,1,3,15,#REF!
sec-tam-anaya-14,node0_0_CPU0,CPAK-100G-LR4,2,9,1,3,15,#REF!
sec-ver-lerdo-20,node0_SM0_SP,CRS-8-PRP-12G,2,9,1,3,15,#REF!
sec-ver-lerdo-20,node0_SM1_SP,CRS-8-PRP-12G,2,9,1,3,15,#REF!
sec-ver-lerdo-20,node0_SM3_SP,CRS-8-PRP-12G,2,9,1,3,15,#REF!
sec-ver-lerdo-20,node0_7_CPU0,CRS-8-PRP-12G,2,9,1,3,15,#REF!
sec-ver-lerdo-20,node0_3_CPU0,CRS-8-PRP-12G,2,9,1,3,15,#REF!
sec-jal-ptovallarta-20,node0_6_CPU0,14X10GBE-WL-XFP,2,9,1,3,14,#REF!
sec-jal-ptovallarta-20,node0_1_CPU0,14X10GBE-WL-XFP,2,9,1,3,14,#REF!
sec-qro-corregidora-32,node0_RP0_CPU0,4X100GE-LO,2,9,1,3,14,#REF!
sec-qro-corregidora-32,node0_5_CPU0,4X100GE-LO,2,9,1,3,14,#REF!
sec-qro-corregidora-32,node0_4_CPU0,4X100GE-LO,2,9,1,3,14,#REF!
sec-qro-corregidora-32,node0_3_CPU0,4X100GE-LO,2,9,1,3,14,#REF!
sec-qro-corregidora-32,node0_2_CPU0,4X100GE-LO,2,9,1,3,14,#REF!
sec-ver-lerdo-20,node0_RP1_CPU0,CRS-8-PRP-12G,2,9,1,3,14,#REF!
sec-ver-lerdo-20,node0_RP0_CPU0,CRS-8-PRP-12G,2,9,1,3,14,#REF!
sec-ver-lerdo-20,node0_4_CPU0,CRS-8-PRP-12G,2,9,1,3,14,#REF!
sec-ver-lerdo-20,node0_0_CPU0,CRS-8-PRP-12G,2,9,1,3,14,#REF!
sec-jal-ptovallarta-20,node0_RP1_CPU0,14X10GBE-WL-XFP,2,9,1,3,13,#REF!
sec-qro-corregidora-32,node0_RP1_CPU0,4X100GE-LO,2,9,1,3,13,#REF!
sec-qoo-kukulcan-28,node0_SM2_SP,CRS-8-PRP-12G,2,9,1,2,17,#REF!
sec-qoo-kukulcan-28,node0_SM0_SP,CRS-8-PRP-12G,2,9,1,2,17,#REF!
sec-qoo-kukulcan-28,node0_SM3_SP,CRS-8-PRP-12G,2,9,1,2,17,#REF!
sec-qoo-kukulcan-28,node0_SM1_SP,CRS-8-PRP-12G,2,9,1,2,17,#REF!
sec-qoo-kukulcan-28,node0_0_CPU0,CRS-8-PRP-12G,2,9,1,2,17,#REF!
sec-qoo-kukulcan-28,node0_3_CPU0,CRS-8-PRP-12G,2,9,1,2,16,#REF!
sec-qoo-kukulcan-28,node0_RP1_CPU0,CRS-8-PRP-12G,2,9,1,2,15,#REF!
sec-chi-centauro-12,node0_SM0_SP,CRS-8-PRP-12G,2,9,1,1,15,#REF!
sec-chi-centauro-12,node0_SM3_SP,CRS-8-PRP-12G,2,9,1,1,15,#REF!
sec-chi-centauro-12,node0_SM2_SP,CRS-8-PRP-12G,2,9,1,1,15,#REF!
sec-chi-centauro-12,node0_SM1_SP,CRS-8-PRP-12G,2,9,1,1,15,#REF!
sec-chi-centauro-12,node0_1_CPU0,CRS-8-PRP-12G,2,9,1,1,14,#REF!
sec-chi-centauro-12,node0_RP0_CPU0,CRS-8-PRP-12G,2,9,1,1,13,#REF!
sec-chi-centauro-12,node0_4_CPU0,CRS-8-PRP-12G,2,9,1,1,13,#REF!
sec-ver-pozarica-19,node0_SM3_SP,14X10GBE-WL-XFP,2,9,0,6,17,#REF!
sec-ver-pozarica-19,node0_SM2_SP,14X10GBE-WL-XFP,2,9,0,6,17,#REF!
sec-ver-pozarica-19,node0_SM1_SP,14X10GBE-WL-XFP,2,9,0,6,17,#REF!
sec-ver-pozarica-19,node0_SM0_SP,14X10GBE-WL-XFP,2,9,0,6,17,#REF!
sec-ver-pozarica-19,node0_6_CPU0,14X10GBE-WL-XFP,2,9,0,6,17,#REF!
sec-ver-pozarica-19,node0_RP1_CPU0,14X10GBE-WL-XFP,2,9,0,6,16,#REF!
sec-ver-pozarica-19,node0_2_CPU0,14X10GBE-WL-XFP,2,9,0,6,16,#REF!
sec-tam-madero-22,node0_SM1_SP,14X10GBE-WL-XFP,2,9,0,5,19,#REF!
sec-tam-madero-22,node0_SM0_SP,14X10GBE-WL-XFP,2,9,0,5,19,#REF!
sec-tam-madero-22,node0_SM3_SP,14X10GBE-WL-XFP,2,9,0,5,19,#REF!
sec-tam-madero-22,node0_RP1_CPU0,14X10GBE-WL-XFP,2,9,0,5,18,#REF!
sec-tam-madero-22,node0_7_CPU0,14X10GBE-WL-XFP,2,9,0,5,18,#REF!
sec-tam-madero-22,node0_6_CPU0,14X10GBE-WL-XFP,2,9,0,5,18,#REF!
sec-tam-madero-22,node0_2_CPU0,14X10GBE-WL-XFP,2,9,0,5,18,#REF!
sec-tam-madero-22,node0_1_CPU0,14X10GBE-WL-XFP,2,9,0,5,18,#REF!
sec-tam-madero-22,node0_RP0_CPU0,14X10GBE-WL-XFP,2,9,0,5,17,#REF!
sec-tam-madero-26,node0_SM3_SP,CPAK-100G-LR4,2,9,0,4,18,#REF!
sec-tam-madero-26,node0_SM0_SP,CPAK-100G-LR4,2,9,0,4,18,#REF!
sec-tam-madero-26,node0_SM1_SP,CPAK-100G-LR4,2,9,0,4,18,#REF!
sec-tam-madero-26,node0_SM2_SP,CPAK-100G-LR4,2,9,0,4,18,#REF!
sec-tam-madero-26,node0_1_CPU0,CPAK-100G-LR4,2,9,0,4,18,#REF!
sec-tam-madero-26,node0_7_CPU0,CPAK-100G-LR4,2,9,0,4,17,#REF!
sec-tam-madero-26,node0_6_CPU0,CPAK-100G-LR4,2,9,0,4,17,#REF!
sec-tam-madero-26,node0_0_CPU0,CPAK-100G-LR4,2,9,0,4,17,#REF!
sec-tam-madero-26,node0_RP1_CPU0,CPAK-100G-LR4,2,9,0,4,16,#REF!
sec-tam-madero-26,node0_RP0_CPU0,CPAK-100G-LR4,2,9,0,4,16,#REF!
sec-son-cortinez-17,node0_SM1_SP,CPAK-100G-LR4,2,9,0,3,13,#REF!
sec-son-cortinez-17,node0_SM3_SP,CPAK-100G-LR4,2,9,0,3,13,#REF!
sec-son-cortinez-17,node0_SM2_SP,CPAK-100G-LR4,2,9,0,3,13,#REF!
sec-son-cortinez-17,node0_SM0_SP,CPAK-100G-LR4,2,9,0,3,13,#REF!
sec-son-cortinez-17,node0_3_CPU0,CPAK-100G-LR4,2,9,0,3,13,#REF!
sec-son-cortinez-17,node0_0_CPU0,CPAK-100G-LR4,2,9,0,3,12,#REF!
sec-nvl-valle-14,node0_SM2_SP,14X10GBE-WL-XFP,2,9,0,2,17,#REF!
sec-nvl-valle-14,node0_SM3_SP,14X10GBE-WL-XFP,2,9,0,2,17,#REF!
sec-nvl-valle-14,node0_SM0_SP,14X10GBE-WL-XFP,2,9,0,2,17,#REF!
sec-nvl-valle-14,node0_SM1_SP,14X10GBE-WL-XFP,2,9,0,2,17,#REF!
sec-nvl-valle-14,node0_2_CPU0,14X10GBE-WL-XFP,2,9,0,2,17,#REF!
sec-nvl-valle-14,node0_RP0_CPU0,14X10GBE-WL-XFP,2,9,0,2,16,#REF!
sec-nvl-valle-14,node0_0_CPU0,14X10GBE-WL-XFP,2,9,0,2,16,#REF!
sec-sin-losmochis-22,node0_SM1_SP,4X100GE-LO,2,9,0,1,14,#REF!
sec-sin-losmochis-22,node0_SM0_SP,4X100GE-LO,2,9,0,1,13,#REF!
sec-sin-losmochis-22,node0_SM2_SP,4X100GE-LO,2,9,0,1,13,#REF!
sec-sin-losmochis-22,node0_SM3_SP,4X100GE-LO,2,9,0,1,13,#REF!
sec-sin-losmochis-22,node0_RP1_CPU0,4X100GE-LO,2,9,0,1,12,#REF!
sec-sin-losmochis-22,node0_RP0_CPU0,4X100GE-LO,2,9,0,1,12,#REF!
sec-sin-losmochis-22,node0_1_CPU0,4X100GE-LO,2,9,0,1,12,#REF!
sec-sin-losmochis-22,node0_0_CPU0,4X100GE-LO,2,9,0,1,12,#REF!
sec-oax-belisario-12,node0_SM1_SP,4X100GE-LO,2,8,4,1,13,#REF!
sec-oax-belisario-12,node0_SM0_SP,4X100GE-LO,2,8,4,1,13,#REF!
sec-oax-belisario-12,node0_SM2_SP,4X100GE-LO,2,8,4,1,13,#REF!
sec-oax-belisario-12,node0_SM3_SP,4X100GE-LO,2,8,4,1,13,#REF!
sec-oax-belisario-12,node0_4_CPU0,4X100GE-LO,2,8,4,1,12,#REF!
sec-oax-belisario-12,node0_2_CPU0,4X100GE-LO,2,8,4,1,12,#REF!
sec-oax-belisario-12,node0_0_CPU0,4X100GE-LO,2,8,4,1,12,#REF!
sec-oax-belisario-12,node0_RP1_CPU0,4X100GE-LO,2,8,4,1,11,#REF!
sec-oax-belisario-12,node0_3_CPU0,4X100GE-LO,2,8,4,1,10,#REF!
sec-hgo-revolucionp-23,node0_SM0_SP,CRS1-SIP-800,2,8,3,3,18,#REF!
sec-hgo-revolucionp-23,node0_SM1_SP,CRS1-SIP-800,2,8,3,3,17,#REF!
sec-hgo-revolucionp-23,node0_SM3_SP,CRS1-SIP-800,2,8,3,3,17,#REF!
sec-hgo-revolucionp-23,node0_SM2_SP,CRS1-SIP-800,2,8,3,3,17,#REF!
sec-hgo-revolucionp-23,node0_7_CPU0,CRS1-SIP-800,2,8,3,3,17,#REF!
sec-hgo-revolucionp-23,node0_4_CPU0,CRS1-SIP-800,2,8,3,3,17,#REF!
sec-hgo-revolucionp-23,node0_3_CPU0,CRS1-SIP-800,2,8,3,3,17,#REF!
sec-hgo-revolucionp-23,node0_RP1_CPU0,CRS1-SIP-800,2,8,3,3,16,#REF!
sec-hgo-revolucionp-23,node0_RP0_CPU0,CRS1-SIP-800,2,8,3,3,16,#REF!
sec-hgo-revolucionp-23,node0_0_CPU0,CRS1-SIP-800,2,8,3,3,14,#REF!
sec-tab-paseo-29,node0_RP1_CPU0,4X100GE-LO,2,8,3,0,11,#REF!
vpn-mex-ctsj-77,node0_6_CPU0,A9K-RSP880-SE,2,8,1,6,17,#REF!
vpn-mex-ctsj-77,node0_5_CPU0,A9K-RSP880-SE,2,8,1,6,17,#REF!
vpn-mex-ctsj-77,node0_4_CPU0,A9K-RSP880-SE,2,8,1,6,17,#REF!
vpn-mex-ctsj-77,node0_3_CPU0,A9K-RSP880-SE,2,8,1,6,17,#REF!
vpn-mex-ctsj-77,node0_2_CPU0,A9K-RSP880-SE,2,8,1,6,17,#REF!
vpn-mex-ctsj-77,node0_1_CPU0,A9K-RSP880-SE,2,8,1,6,17,#REF!
vpn-mex-ctsj-77,node0_0_CPU0,A9K-RSP880-SE,2,8,1,6,17,#REF!
vpn-mex-ctsj-77,node0_RSP0_CPU0,A9K-RSP880-SE,2,8,1,6,16,#REF!
vpn-mex-vallejo-78,node0_5_CPU0,SFP-10G-LR-S,2,8,0,5,15,#REF!
vpn-mex-vallejo-78,node0_4_CPU0,SFP-10G-LR-S,2,8,0,5,15,#REF!
vpn-mex-vallejo-78,node0_3_CPU0,SFP-10G-LR-S,2,8,0,5,15,#REF!
vpn-mex-vallejo-78,node0_2_CPU0,SFP-10G-LR-S,2,8,0,5,15,#REF!
vpn-mex-vallejo-78,node0_1_CPU0,SFP-10G-LR-S,2,8,0,5,15,#REF!
vpn-mex-vallejo-78,node0_0_CPU0,SFP-10G-LR-S,2,8,0,5,15,#REF!
vpn-mex-vallejo-78,node0_RSP1_CPU0,SFP-10G-LR-S,2,8,0,5,15,#REF!
vpn-mex-vallejo-78,node0_RSP0_CPU0,SFP-10G-LR-S,2,8,0,5,15,#REF!
sec-bcs-snjosecabo-19,node0_SM3_SP,14X10GBE-WL-XFP,2,8,0,5,12,#REF!
sec-bcs-snjosecabo-19,node0_SM0_SP,14X10GBE-WL-XFP,2,8,0,5,12,#REF!
sec-bcs-snjosecabo-19,node0_SM1_SP,14X10GBE-WL-XFP,2,8,0,5,12,#REF!
sec-bcs-snjosecabo-19,node0_7_CPU0,14X10GBE-WL-XFP,2,8,0,5,12,#REF!
sec-bcs-snjosecabo-19,node0_0_CPU0,14X10GBE-WL-XFP,2,8,0,5,12,#REF!
sec-bcs-snjosecabo-19,node0_RP1_CPU0,14X10GBE-WL-XFP,2,8,0,5,11,#REF!
sec-bcs-snjosecabo-19,node0_RP0_CPU0,14X10GBE-WL-XFP,2,8,0,5,11,#REF!
sec-bcs-snjosecabo-19,node0_5_CPU0,14X10GBE-WL-XFP,2,8,0,5,11,#REF!
sec-bcs-snjosecabo-19,node0_2_CPU0,14X10GBE-WL-XFP,2,8,0,5,11,#REF!
sec-son-obregon-24,node0_SM3_SP,14X10GBE-WL-XFP,2,7,3,3,15,#REF!
sec-son-obregon-24,node0_SM2_SP,14X10GBE-WL-XFP,2,7,3,3,15,#REF!
sec-son-obregon-24,node0_SM0_SP,14X10GBE-WL-XFP,2,7,3,3,15,#REF!
sec-son-obregon-24,node0_SM1_SP,14X10GBE-WL-XFP,2,7,3,3,15,#REF!
sec-son-obregon-24,node0_4_CPU0,14X10GBE-WL-XFP,2,7,3,3,14,#REF!
sec-son-obregon-24,node0_2_CPU0,14X10GBE-WL-XFP,2,7,3,3,14,#REF!
sec-son-obregon-24,node0_0_CPU0,14X10GBE-WL-XFP,2,7,3,3,14,#REF!
sec-son-obregon-24,node0_RP1_CPU0,14X10GBE-WL-XFP,2,7,3,3,13,#REF!
sec-son-obregon-24,node0_RP0_CPU0,14X10GBE-WL-XFP,2,7,3,3,13,#REF!
sec-mch-zamora-16,node0_SM3_SP,14X10GBE-WL-XFP,2,7,2,6,23,#REF!
sec-dgo-zarco-17,node0_RP1_CPU0,14X10GBE-WL-XFP,2,7,0,1,21,#REF!
vpn-mex-nextengo-95,node0_5_CPU0,SFP-10G-LR-S,2,6,1,6,15,#REF!
vpn-mex-nextengo-95,node0_4_CPU0,SFP-10G-LR-S,2,6,1,6,15,#REF!
vpn-mex-nextengo-95,node0_3_CPU0,SFP-10G-LR-S,2,6,1,6,15,#REF!
vpn-mex-nextengo-95,node0_2_CPU0,SFP-10G-LR-S,2,6,1,6,15,#REF!
vpn-mex-nextengo-95,node0_1_CPU0,SFP-10G-LR-S,2,6,1,6,15,#REF!
vpn-mex-nextengo-95,node0_0_CPU0,SFP-10G-LR-S,2,6,1,6,15,#REF!
vpn-mex-nextengo-95,node0_RSP1_CPU0,SFP-10G-LR-S,2,6,1,6,14,#REF!
sec-col-ctc-24,node0_SM0_SP,4X100GE-LO,2,5,4,0,16,#REF!
sec-col-ctc-24,node0_SM2_SP,4X100GE-LO,2,5,4,0,16,#REF!
sec-col-ctc-24,node0_SM3_SP,4X100GE-LO,2,5,4,0,16,#REF!
sec-col-ctc-24,node0_SM1_SP,4X100GE-LO,2,5,4,0,16,#REF!
sec-col-ctc-24,node0_6_CPU0,4X100GE-LO,2,5,4,0,15,#REF!
sec-col-ctc-24,node0_RP0_CPU0,4X100GE-LO,2,5,4,0,14,#REF!
sec-col-ctc-24,node0_0_CPU0,4X100GE-LO,2,5,4,0,14,#REF!
sec-sin-losmochis-18,node0_SM1_SP,4X100GE-LO,2,5,3,6,15,#REF!
sec-sin-losmochis-18,node0_SM2_SP,4X100GE-LO,2,5,3,6,15,#REF!
sec-sin-losmochis-18,node0_SM0_SP,4X100GE-LO,2,5,3,6,15,#REF!
sec-sin-losmochis-18,node0_SM3_SP,4X100GE-LO,2,5,3,6,15,#REF!
sec-sin-losmochis-18,node0_3_CPU0,4X100GE-LO,2,5,3,6,14,#REF!
sec-sin-losmochis-18,node0_RP1_CPU0,4X100GE-LO,2,5,3,6,13,#REF!
sec-sin-losmochis-18,node0_RP0_CPU0,4X100GE-LO,2,5,3,6,13,#REF!
sec-sin-losmochis-18,node0_0_CPU0,4X100GE-LO,2,5,3,6,13,#REF!
vpn-nvl-triara-35,node0_3_CPU0,A9K-RSP440-SE,2,5,2,0,16,#REF!
vpn-nvl-triara-35,node0_2_CPU0,A9K-RSP440-SE,2,5,2,0,16,#REF!
vpn-nvl-triara-35,node0_1_CPU0,A9K-RSP440-SE,2,5,2,0,16,#REF!
vpn-nvl-triara-35,node0_0_CPU0,A9K-RSP440-SE,2,5,2,0,16,#REF!
