deviceName,productId,uptime,Impact,match
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,4X100GE-LO,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,CRS-8-PRP-12G,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,14X10GBE-WL-XFP,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
sec,CPAK-100G-LR4,2y:9w,NA,NA
